"Date","Entries"
2014-05-13,109502
2014-05-14,106325
2014-05-15,110961
2014-05-16,111119
2014-05-17,89710
2014-05-18,50700
2014-05-19,90026
2014-05-20,95952
2014-05-21,99951
2014-05-22,119271
2014-05-23,112564
2014-05-24,120863
2014-05-25,108151
2014-05-26,103846
2014-05-27,106296
2014-05-28,105259
2014-05-29,117204
2014-05-30,132781
2014-05-31,106920
2014-06-02,87390
2014-06-03,104069
2014-06-04,110280
2014-06-05,111784
2014-06-06,107426
2014-06-07,113274
2014-06-08,93187
2014-06-09,100026
2014-06-10,107307
2014-06-11,96771
2014-06-12,109204
2014-06-13,102642
2014-06-14,110000
2014-06-15,92476
2014-06-16,97856
2014-06-17,108497
2014-06-18,107267
2014-06-19,109296
2014-06-20,100124
2014-06-21,106948
2014-06-22,90750
2014-06-23,100712
2014-06-24,103237
2014-06-25,113919
2014-06-26,113454
2014-06-27,104049
2014-06-28,107789
2014-06-29,94566
2014-06-30,88332
2014-07-01,93945
2014-07-02,100046
2014-07-03,97157
2014-07-04,90631
2014-07-05,89374
2014-07-06,79507
2014-07-07,95901
2014-07-08,104817
2014-07-09,104042
2014-07-10,98826
2014-07-11,83702
2014-07-12,84211
2014-07-13,70865
2014-07-14,95923
2014-07-15,99533
2014-07-16,102844
2014-07-17,106117
2014-07-18,96178
2014-07-19,91303
2014-07-20,80793
2014-07-21,96252
2014-07-22,101158
2014-07-23,102741
2014-07-24,110632
2014-07-25,96418
2014-07-26,100183
2014-07-27,76605
2014-07-28,87371
2014-07-29,88733
2014-07-30,86034
2014-07-31,92944
2014-08-01,84895
2014-08-02,86095
2014-08-03,67365
2014-08-18,48812
2014-08-19,54385
2014-08-20,55775
2014-08-21,54942
2014-08-22,56917
2014-08-23,56584
2014-08-24,53274
2014-08-25,49095
2014-08-26,52939
2014-08-27,54086
2014-08-28,58533
2014-08-29,60104
2014-08-30,76394
2014-08-31,72243
2014-09-01,73544
2014-09-02,80382
2014-09-03,86110
2014-09-04,89416
2014-09-05,90027
2014-09-06,99337
2014-09-07,85502
2014-09-08,86237
2014-09-09,95432
2014-09-10,101028
2014-09-11,99267
2014-09-12,93794
2014-09-13,95734
2014-09-14,82044
2014-09-15,101767
2014-09-16,115565
2014-09-17,109779
2014-09-18,114358
2014-09-19,119585
2014-09-20,130429
2014-09-21,107911
2014-09-22,105007
2014-09-23,106617
2014-09-24,106073
2014-09-25,108750
2014-09-26,108349
2014-09-27,115199
2014-09-28,95422
2014-09-29,96890
2014-09-30,111539
2014-10-01,111151
2014-10-02,112655
2014-10-03,111508
2014-10-04,125903
2014-10-05,101793
2014-10-06,97226
2014-10-07,108075
2014-10-08,111444
2014-10-09,113483
2014-10-10,112244
2014-10-11,119100
2014-10-12,95873
2014-10-13,110132
2014-10-14,109361
2014-10-15,107093
2014-10-16,98877
2014-10-17,103457
2014-10-18,123795
2014-10-19,98845
2014-10-20,98479
2014-10-21,99768
2014-10-22,102643
2014-10-23,104222
2014-10-24,127355
2014-10-25,124307
2014-10-26,106759
2014-10-27,98093
2014-10-28,105412
2014-10-29,106395
2014-10-30,106318
2014-10-31,108846
2014-11-01,112042
2014-11-02,99093
2014-11-03,99597
